id_especies,species
666,Schistes geoffroyi
667,Sclerurus guatemalensis
668,Sclerurus mexicanus
669,Scytalopus latrans
670,Scytalopus parkeri
671,Scytalopus robbinsi
672,Scytalopus unicolor
673,Semnornis ramphastinus
674,Serpophaga cinerea
675,Setophaga castanea
676,Setophaga fusca
677,Setophaga petechia
678,Setophaga pitiayumi
679,Setophaga ruticilla
680,Sicalis flaveola
681,Sicalis luteola
682,Sicalis taczanowskii
683,Sirystes albogriseus
684,Sittasomus griseicapillus
685,Spinus magellanicus
686,Spizaetus isidori 
687,Spizaetus ornatus
688,Spizaetus tyrannus
689,Sporagra magellanica
690,Sporagra siemiradzkii
691,Sporagra xanthrogastra
692,Sporophila americana
693,Sporophila angolensis
694,Sporophila bouvronides
695,Sporophila corvina
696,Sporophila crassirostris
697,Sporophila funerea
698,Sporophila luctuosa
699,Sporophila nigricollis
700,Sporophila peruviana
701,Sporophila simplex
702,Sporophila telasco
703,Steatornis caripensis
704,Stelgidopteryx ruficollis
705,Sterna hirundinacea
706,Sterna hirundo
707,Sterna paradisaea
708,Sternula lorata
709,Streptoprocne rutila
710,Streptoprocne zonaris
711,Sturnella bellicosa
712,Sturnella militaris
713,Sula granti
714,Sula leucogaster
715,Sula nebouxii
716,Sula sula
717,Sula variegata
718,Synallaxis azarae
719,Synallaxis brachyura
720,Synallaxis stictothorax
721,Synallaxis tithys
722,Synallaxis unirufa
723,Synallaxis zimmeri
724,Syndactyla ruficollis
725,Syndactyla rufosuperciliata
726,Syndactyla subalaris
727,Systellura longirostris
728,Tachuris rubrigastra
729,Tachybaptus dominicus
730,Tachycineta stolzmanni
731,Tachyphonus delatrii
732,Tachyphonus luctuosus
733,Tachyphonus rufus
734,Tangara arthus
735,Tangara cyanicollis
736,Tangara florida
737,Tangara gyrola
738,Tangara icterocephala
739,Tangara johannae
740,Tangara larvata
741,Tangara nigroviridis
742,Tangara palmeri
743,Tangara parzudakii
744,Tangara ruficervix
745,Tangara rufigula
746,Tangara vassorii
747,Tangara viridicollis
748,Tapera naevia
749,Taraba major
750,Terenotriccus erythrurus
751,Tersina viridis
752,Thalasseus  sandvicensis
753,Thalasseus elegans
754,Thalasseus maximus
755,Thalurania colombica
756,Thamnistes anabatinus
757,Thamnophilus atrinucha
758,Thamnophilus bernardi
759,Thamnophilus unicolor
760,Thamnophilus zarumae
761,Thaumastura cora
762,Thinocorus rumicivorus
763,Thlypopsis ornata
764,Thraupis cyanocephala
765,Thraupis episcopus
766,Thraupis palmarum
767,Threnetes ruckeri
768,Thripadectes ignobilis
769,Tiaris obscurus
770,Tigrisoma fasciatum
771,Tigrisoma lineatum
772,Tinamus major
773,Tityra inquisitor
774,Tityra semifasciata
775,Todirostrum cinereum
776,Todirostrum nigriceps
777,Tolmomyias sulphurescens
778,Touit dilectissimus
779,Tringa flavipes
780,Tringa incana
781,Tringa melanoleuca
782,Tringa semipalmata
783,Tringa solitaria
784,Troglodytes aedon
785,Troglodytes solstitialis
786,Trogon caligatus
787,Trogon chionurus
788,Trogon collaris
789,Trogon comptus
790,Trogon melanurus
791,Trogon mesurus
792,Trogon personatus
793,Trogon rufus
794,Trogon violaceus
795,Trogon viridis
796,Tumbezia salvini
797,Turdus albicollis
798,Turdus chiguanco
799,Turdus fuscater
800,Turdus maculirostris
801,Turdus maranonicus
802,Turdus nigriceps
803,Turdus obsoletus
804,Turdus reevei
805,Turdus serranus
806,Tyrannulus elatus
807,Tyrannus melancholicus
808,Tyrannus niveigularis
809,Tyrannus tyrannus
810,Tyto alba
811,Uropsalis segmentata
812,Urosticte benjamini
813,Vanellus cayanus
814,Veniliornis callonotus
815,Veniliornis kirkii
816,Veniliornis nigriceps 
817,Vireo leucophrys
818,Vireo olivaceus
819,Vireolanius leucotis
820,Volatinia jacarina
821,Xenops minutus
822,Xenops rutilans
823,Xiphocolaptes promeropirhynchus
824,Xiphorhynchus erythropygius
825,Xiphorhynchus lachrymosus
826,Zenaida auriculata
827,Zenaida meloda
828,Zentrygon frenata
829,Zimmerius albigularis
830,Zimmerius chrysops
831,Zimmerius flavidifrons
832,Zimmerius viridiflavus
833,Zonotrichia capensis
