id_aves,codigo,sinonimo,nombre,morfometria,endenismo,migraciòn,ecologia,behaviour,anio_publicacion,anio_colleccion,familia_id_familia,especies_id_especies,uicn_id_UICN
21456,UTPL_A0894,,Gray-fronted Dove,,,,,,,,18,367,8
21457,UTPL_A0111,,Western Sandpiper,,,MB,,,,,66,114,8
21458,UTPL_A0355,,Black-necked Stilt,,,,,,,,63,337,8
21459,UTPL_A0114,,Semipalmated Sandpiper,,,MB,,,,,66,117,8
21460,UTPL_A0259,,Snowy Egret,,,,,,,,8,249,8
21461,UTPL_A0286,,Bat Falcon,,,,,,,,27,274,8
21462,UTPL_A0560,,Neotropic Cormorant,,,,,,,,53,544,8
21463,UTPL_A0097,,Savanna Hawk,,,,,,,,1,99,8
21464,UTPL_A0351,,laughing falcon,,,,,,,,27,334,8
21465,UTPL_A0097,,Savanna Hawk,,,,,,,,1,99,8
21466,UTPL_A0672,Bueteo magnirostris,Roadside Hawk,,,,,,,,1,653,8
21467,UTPL_A0419,,Ringed Kingfisher,,,,,,,,2,393,8
21468,UTPL_A0292,,Pacific Parrotlet,,BT,,,,,,60,280,1
21469,UTPL_A0158,,Green Kingfisher,,,,,,,,2,154,8
21470,UTPL_A0445,,Amazonian Motmot,,,,,,,,43,420,8
21471,UTPL_A0445,,Amazonian Motmot,,,,,,,,43,420,8
21472,UTPL_A0495,,Common Potoo,,,,,,,,45,478,1
21473,UTPL_A0812,,Black-tailed Trogon,,,,,,,,79,790,8
21474,UTPL_A0812,,Black-tailed Trogon,,,,,,,,79,790,8
21475,UTPL_A0587,,Squirrel Cuckoo,,,,,,,,23,574,8
21476,UTPL_A0765,,Striped Cuckoo,,,,,,,,23,748,8
21477,UTPL_A0126,,Orange-fronted Barbet,,B-Ch,,,,,,11,127,8
21478,UTPL_A0191,Piculus rubiginosus,Golden-olive Woodpecker,,,,,,,,55,189,8
21479,UTPL_A0255,,Lineated Woodpecker,,,,,,,,55,244,8
21480,UTPL_A0255,,Lineated Woodpecker,,,,,,,,55,244,8
